im x,im y,roadway x,roadway y
415.49863950324425,457.57650177911114,1120,0
422.73661761569633,475.0554489230113,1130,0
444.2844520800098,527.091176831513,1160,0
452.1728748806113,546.1408787010506,1170,0
481.27944111776446,616.4301397205588,1200,0
492.52107111501317,643.5774802458296,1210,0
526.9660678642715,726.7584830339322,1240,0
543.0527607361963,765.6061349693251,1250,0
594.0142910868748,888.6728093268146,1280,0
617.5989332078284,945.6272110444366,1290,0
691.4478166944081,1123.9644084003257,1320,0
392.84065934065933,402.8598901098901,1080,0
398.5772811918063,416.71322160148975,1090,0
473.12498297543925,447.80932491941707,1120,12
480.9482925480437,462.80035946356975,1130,12
507.5014317531021,513.6815144766147,1160,12
517.4295005807201,532.7056910569106,1170,12
551.9078014184397,598.7730496453901,1200,12
564.8104399490734,623.4971000141463,1210,12
608.1121856866538,706.4719535783365,1240,12
626.9012215484664,742.4755250900782,1250,12
687.4647830636723,858.5274893342993,1280,12
713.7742768336091,908.9417706923347,1290,12
803.1132092539406,1080.1331328162103,1320,12
445.12025033527044,394.1466249441216,1080,12
451.84289518276444,407.02856451222465,1090,12
529.8472789189897,438.1953764544085,1120,24
537.8607192529306,450.81879594675144,1130,24
569.4276897287413,500.54564157269124,1160,24
581.4729303499203,519.5202790456046,1170,24
620.843028624192,581.539242843952,1200,24
635.0861011924814,603.9760830020886,1210,24
687.5450907971683,686.6137273007079,1240,24
708.6847084432166,719.9145631880782,1250,24
778.114319544708,829.2857033726748,1280,24
806.2807771542232,873.6557860339561,1290,24
910.5767207061059,1037.9511937415286,1320,24
496.45366587830574,385.59105568694906,1080,24
504.03801883501916,397.5385420299965,1090,24
582.7077238026187,429.2359790165053,1120,36
590.5013539651837,439.73655705996134,1130,36
626.6287918119112,488.41207446414,1160,36
640.6715813819022,507.3323214801966,1170,36
684.0250896057348,565.7437275985664,1200,36
699.1860647181628,586.1705375782881,1210,36
760.2461170848268,668.4384707287933,1240,36
783.196140436228,699.3596853969026,1250,36
860.0187274201872,802.8649266386493,1280,36
889.1104131102766,842.0609764424719,1290,36
1006.5435571501794,1000.2819682214249,1320,36
544.3848739495799,377.60252100840336,1080,36
552.6249149081008,388.70456092579985,1090,36
634.3731993705362,420.4791187507566,1120,48
641.6189665653495,428.97495440729483,1130,48
682.2484267934555,476.6139700741155,1160,48
698.323812120799,495.46274456336494,1170,48
745.2167321729365,550.4458169567658,1200,48
761.0330436911026,568.9908211969159,1210,48
830.8040426726558,650.7989893318361,1240,48
855.2640146040922,679.4788925230091,1250,48
938.8165713104019,777.4462673192252,1280,48
968.1959728698602,811.8943196269606,1290,48
1098.1856338834302,964.3103119336068,1320,48
591.1570576540755,369.8071570576541,1080,48
599.9373793695046,380.1022946600901,1090,48
im space-> roadway marking coordinate system Homography Matrix
0.7286275599305818,13.406753026502471,-575.1334997434491
1.009217201670994,-0.4173448816185273,-228.91686353841033
0.00012379860077290603,0.009145663645725647,1.0
