im x,im y,roadway x,roadway y
434.4339828879424,339.619690173759,0,0
438.61121373465176,350.70705204824515,10,0
447.8543310962703,375.24047880806654,40,0
452.053113934597,386.385044782337,50,0
464.1399634420918,418.46641144121315,80,0
468.74454428754814,430.6880616174583,90,0
483.45582962077583,469.73530370531347,120,0
489.75409767723016,486.4524016314279,130,0
507.9602088873226,534.7757408771986,160,0
514.7247829763419,552.7305256626294,170,0
538.9687303181439,617.0797147088361,200,0
549.0446751496454,643.8236631938047,210,0
579.3195476248864,724.1803586111391,240,0
594.3980223912649,764.2022085842726,250,0
637.93581693593,879.7618463079091,280,0
656.8629648654598,929.9989881005256,290,0
474.3721674418605,333.3793488372093,0,12
479.25219345174406,343.3177830087738,10,12
491.5686123642372,368.4008293579765,40,12
497.04724091963857,379.55834965357207,50,12
512.1463363702455,410.30846571486023,80,12
517.8424770334293,421.90896106024775,90,12
536.5833511662744,460.0757543334047,120,12
544.2176404693924,475.62339312304476,130,12
567.280005539678,522.5911339972554,160,12
576.365517117527,541.094264625773,170,12
606.0395676252753,601.5270567825448,200,12
618.8191595823704,627.5533798283262,210,12
656.8639328063241,705.0335968379446,240,12
674.8209530548779,741.604029720117,250,12
728.3359443984413,850.5901739707158,280,12
751.4725153650128,897.709039124569,290,12
516.9502471169687,326.72652388797366,0,24
522.2482671707625,335.50031505986135,10,24
537.7517630465444,361.17489421720734,40,24
544.5045925061962,372.3579238956116,50,24
562.276777164744,401.7895672791938,80,24
568.9117221085543,412.7773741925102,90,24
591.4489603024575,450.1001890359168,120,24
600.1461102855536,464.5031125748022,130,24
627.7251322457737,510.1753782414086,160,24
639.229438602054,529.227095774102,170,24
673.448709172697,585.8959514961862,200,24
688.7558055152394,611.2452830188679,210,24
733.9031404958678,686.0115702479338,240,24
754.0322028371107,719.3463231697375,250,24
816.1684226146313,822.2470692981154,280,24
842.8945907705703,866.5069656073139,290,24
556.2750053544656,320.58203041336475,0,36
561.8284809480028,328.30391255490855,10,36
580.6425369249536,354.4640928620821,40,36
588.6901087961317,365.6539145274835,50,36
608.9715970901449,393.8544998408904,80,36
616.4654448661264,404.27439065307675,90,36
642.7186638063132,440.7784247624885,120,36
652.3204178883248,454.12927363623953,130,36
684.2743158411279,498.5598702596602,160,36
698.3088690251949,518.0743461534071,170,36
736.5602834640698,571.2613835445635,200,36
754.3207536121562,595.9565955702595,210,36
806.2414776133321,668.1502524411526,240,36
828.0941635872841,698.535524281259,250,36
898.060517846694,795.8208967232299,280,36
928.0059019955361,837.4587365202949,290,36
592.6965342349957,314.8911665257819,0,48
598.2890766445383,321.67471333735665,10,48
620.2167793569753,348.27220459040524,40,48
629.4484581910065,359.4698891020542,50,48
651.7963765261915,386.5770863419544,80,48
659.9729039080055,396.4949112217474,90,48
689.4731442365721,432.2776101388051,120,48
699.7186744908525,444.7050588731638,130,48
735.4516037968876,488.0477786795582,160,48
751.8704502561337,507.96323132919923,170,48
793.2229033156868,558.1222253181016,200,48
813.1123201929427,582.2473513451434,210,48
870.7928118393235,652.2116513976979,240,48
893.7693489730062,680.0813399579982,250,48
970.0391276459269,772.5937566816335,280,48
1002.5428095073501,812.0195189394709,290,48
im space-> roadway marking coordinate system Homography Matrix
1.43633222473265,9.381128077150827,-3814.215310271187
2.2196633952168057,-0.8447971980907955,-676.846427961162
0.0009585308765833153,0.019885627880414494,1.0
