im x,im y,roadway x,roadway y
-25.682771398893912,445.7743653088534,240,0
13.439890502623374,484.20066915063495,250,0
121.58736483225336,590.4231884355628,280,0
168.9918994736234,636.983953042863,290,0
310.1048115231382,775.5851465931147,320,0
370.69721718986665,835.099046657361,330,0
555.0034761724181,1016.1247735221,360,0
638.5115844458669,1098.146491518837,370,0
67.42636823319452,399.6176977989292,240,12
105.76515939235627,432.9478582840912,250,12
218.77528217497823,531.1941883041378,280,12
265.58986439518486,571.8928512319185,290,12
410.2743150136196,697.6755327671848,320,12
468.0012523191095,747.8609461966605,330,12
658.7598622160256,913.6985975559747,360,12
738.7364823862404,983.22696568495,370,12
154.47266549715994,356.4665418902968,240,24
191.52698398618438,385.33863246394327,250,24
308.52265871003505,476.49965916997866,280,24
354.2643955627329,512.1408373985886,290,24
501.4087469628601,626.7931968066644,320,24
555.7826330644355,669.1603979422304,330,24
751.7759436293545,821.8750300069192,360,24
827.7966715153265,881.1090796534791,370,24
235.15977097447458,316.46780584171347,240,36
270.4449823256342,341.52864099033235,250,36
390.3062696378203,426.6584686719007,280,36
434.52081693575684,458.0612416346871,290,36
582.8768814675446,563.4290921919097,320,36
633.5617966136064,599.4273547602149,330,36
833.3633271085843,741.3336386235771,360,36
905.2013448496848,792.3556008302486,370,36
309.41351676564153,279.65825664609224,240,48
342.8165535883896,301.35278774180654,250,48
465.34142564598545,380.92997292281694,280,48
507.93396638385065,408.59288286679595,290,48
657.2591086945475,505.5762487931297,320,48
704.2214975177253,536.0772780875566,330,48
907.5276672768364,668.1201233292769,360,48
975.2123509078737,712.0798232071373,370,48
im space-> roadway marking coordinate system Homography Matrix
0.17718454582587911,0.6876964551591386,91.08509080158493
0.13375103750259004,-0.13628765170307078,64.26591572852654
5.24325241583569e-06,0.0014469651194006302,1.0
