im x,im y,roadway x,roadway y
126.20158552976285,959.3939221359091,360,12
255.63382709312094,959.8011551979857,370,12
627.0436851211073,960.969723183391,400,12
756.7998417290833,961.3779753803747,410,12
1128.5593148469945,962.547643360819,440,12
1263.3626258136553,962.9717754351767,450,12
1637.3914319775079,964.1485834252045,480,12
1770.0970917273526,964.5661156530489,490,12
163.65255925798695,815.8318561777168,360,24
279.772883007865,815.7095598915135,370,24
629.6309957871777,815.3410942645738,400,24
749.0291702826246,815.2153457922248,410,24
1103.2491897183438,814.8422862667527,440,24
1225.1635272155893,814.7138878070399,450,24
1594.8534485495247,814.3245355992107,480,24
1713.3765989741512,814.199708689864,490,24
197.72842662770523,685.20769792713,360,36
301.6170268053627,685.3168246079888,370,36
631.9349071568536,685.6637971713833,400,36
742.1477744475678,685.7795669899659,410,36
1081.1946099176441,686.135708623863,440,36
1192.0649721375673,686.2521690883798,450,36
1558.6005074145355,686.637185406948,480,36
1665.3003556882181,686.7492650795044,490,36
227.0309200775282,572.8814730361419,360,48
320.4610536445852,572.8324797830915,370,48
633.942445009057,572.668095204505,400,48
736.1314042740738,572.6145089647225,410,48
1061.7128726679755,572.4437793011705,440,48
1162.7282440195547,572.3908084719352,450,48
1526.109620747755,572.2002571469598,480,48
1622.0717480694545,572.1499361572787,490,48
im space-> roadway marking coordinate system Homography Matrix
0.1473521564933654,0.24414367760603295,315.26544907816015
0.0014314932497311585,-0.12083785036791625,134.10259461557257
4.4929698590498617e-05,0.0005997885234625654,1.0
