im x,im y,roadway x,roadway y
1036.44338478216,1085.51557660541,1530,0
1094.7693382969644,915.1626815379409,1560,0
1110.7827291473186,868.3922932833824,1570,0
1150.0194265220373,753.7934811272657,1600,0
1160.637247611966,722.7819596179146,1610,0
1187.2992401374,644.910148849797,1640,0
1196.687314008597,617.4903560013227,1650,0
1216.2680612659829,560.300772601997,1680,0
1225.071245264573,534.5892704387144,1690,0
1243.4265776699028,480.97876213592235,1720,0
1250.2151097391895,461.1514636251864,1730,0
1257.4236766284391,440.097367380374,1760,0
1262.3632254565177,425.6704031820647,1770,0
1272.015065913371,397.48022598870057,1800,0
1276.7825002338707,383.5559574667124,1810,0
923.5918412160102,1061.7028655776903,1530,12
999.0933108644485,896.2268011085888,1560,12
1019.6476938906369,851.1778977348981,1570,12
1070.3629145259224,740.0256889304063,1600,12
1083.8373002934463,710.4939680469514,1610,12
1119.661040676696,631.9793165999566,1640,12
1130.8905071248953,607.3677703269069,1650,12
1157.080881249866,549.9665030753735,1680,12
1166.3304856641312,529.6942071386776,1690,12
1189.4696044597824,478.9803557207327,1720,12
1197.187207093097,462.0657378087397,1730,12
1210.1699437824461,433.61156091131613,1760,12
1216.41389415618,419.9267367695225,1770,12
1229.2033857749595,391.89609379673385,1800,12
1234.644981190661,379.96978563324774,1810,12
816.5780911836754,1039.1219825433443,1530,24
907.9107688961983,878.1802563440392,1560,24
932.5685363473499,834.729612421166,1570,24
993.8196889838944,726.795995626846,1600,24
1009.793921975624,698.6470275160998,1610,24
1054.6772504091653,619.5559449311639,1640,24
1067.1581271177738,597.5627887873499,1650,24
1099.840215477488,539.972101115117,1680,24
1108.4118258459407,524.8676521538284,1690,24
1135.584921554175,476.9846267242287,1720,24
1143.5261934244775,462.990927699578,1730,24
1163.809694793537,427.24838948146584,1760,24
1171.1738099271556,414.27172624089445,1770,24
1186.995945945946,386.39077555816687,1800,24
1192.6671870857513,376.3972074115533,1810,24
713.472798420039,1017.3658198501,1530,36
820.0152865705583,860.7842754670896,1560,36
848.5430184418517,818.858125705683,1570,36
919.8803121410715,714.0163502466049,1600,36
938.1389961389962,687.1822393822393,1610,36
992.271663648845,607.625465109338,1640,36
1005.5661201022147,588.0870954003407,1650,36
1044.839295398833,530.3687658632883,1680,36
1051.7928373326902,520.1494031110575,1690,36
1082.501132408993,475.0185604595923,1720,36
1090.0578067063248,463.91279643609784,1730,36
1119.1739285420495,421.12191176067347,1760,36
1127.5457107627267,408.81821384534084,1770,36
1146.4081944190023,381.0967210111742,1800,36
1151.963005104865,372.93302171105233,1810,36
618.3072957612155,997.2850257110822,1530,48
737.8215772535357,844.5167704980956,1560,48
769.565625198048,803.9401736485202,1570,48
849.4399017496396,701.8414644999377,1600,48
869.499854541223,676.1999767265957,1610,48
932.1406557514342,596.1298312465977,1640,48
945.6446791774357,578.868412181144,1650,48
990.9484126077118,520.9592466457909,1680,48
995.2670934699104,515.4389244558258,1690,48
1028.4549042709868,473.01684830633286,1720,48
1034.8323226544621,464.8649599542334,1730,48
1073.9135247920713,414.9096994812647,1760,48
1083.0320536712636,403.2540067089079,1770,48
1104.6294311357913,375.64731710466845,1800,48
1109.5751085572497,369.3255411538085,1810,48
im space-> roadway marking coordinate system Homography Matrix
2.545399670452187,75.70973902262749,8374.769153732816
-6.009199000272909,-2.089260799162813,8480.46040374786
0.00034294515645623825,0.054835037100269254,0.9999999999999999
